Date,Country,Customer Review,Analysis,Rating
2025-02-13,United Kingdom,"""worst flight I have ever taken""",Negative,1.0
2025-02-07,Thailand,“Worst Business Class experience”,Negative,1.0
2025-02-03,India,"""giving all help and support""",Positive,5.0
2025-01-30,United Kingdom,"""never book with Air India again""",Neutral,2.5
2025-01-15,Sri Lanka,"""in-flight experience was equally horrendous""",Negative,1.0
2025-01-10,United States,"""more than satisfactory""",Neutral,2.5
2025-01-08,United Kingdom,“the service onboard was impeccable”,Neutral,2.5
2025-01-04,United Kingdom,"""Done with Air India forever""",Neutral,2.5
2025-01-03,United Kingdom,"""the absolute bottom of the barrel""",Neutral,2.5
2025-01-02,Germany,"""I had a dreadful experience""",Negative,1.0
2024-12-28,Australia,"""I was denied to board""",Negative,1.0
2024-12-23,United States,"""using old planes"" ",Neutral,2.5
2024-12-22,United States,"""the old, dirty, broken seats""",Negative,1.0
2024-12-18,Singapore,"""very hot cabin temperature""",Neutral,2.5
2024-12-11,United Arab Emirates,"""no compensation will be given"" ",Neutral,2.5
2024-12-10,India,"""Air India, a crying shame""",Negative,1.0
2024-12-07,Finland,"""Worst airline experience ever""",Negative,1.0
2024-11-30,United States,"""lacking a little bit in customer service""",Negative,1.0
2024-11-29,Canada,"""will not compensate anything"" ",Neutral,2.5
2024-11-25,Australia,"""service was truly disappointing""",Negative,1.0
2024-11-24,United States,"""a traumatic experience""",Negative,1.0
2024-11-24,United Kingdom,"""terrible customer service""",Negative,1.0
2024-11-23,Spain,"""they are ALWAYS LATE""",Neutral,2.5
2024-11-21,United States,"""no explanation given for the delay""",Negative,1.0
2024-11-14,Australia,"""I had a terrible experience""",Negative,1.0
2024-11-13,India,“Absolutely atrocious service quality”,Neutral,2.5
2024-11-13,Netherlands,“TV screens did not function”,Neutral,2.5
2024-11-12,United Kingdom,"""continues to disappoint""",Negative,1.0
2024-11-12,United States,“Very bad experience”,Negative,1.0
2024-11-11,United States,"""a great experience""",Positive,5.0
2024-11-11,United States,“plane I flew in was really old”,Neutral,2.5
2024-11-09,United Kingdom,"""complete and utter shambles""",Neutral,2.5
2024-11-08,Australia,"""It was a nightmare for us""",Neutral,2.5
2024-11-07,India,“I was unexpectedly downgraded”,Neutral,2.5
2024-11-05,Canada,"""would use Air India again"" ",Neutral,2.5
2024-10-31,India,"""unaware of their own processes""",Negative,1.0
2024-10-26,Australia,"""I was very disappointed""",Negative,1.0
2024-10-23,Canada,"""denied to get the wheelchair""",Negative,1.0
2024-10-19,Australia,"""book a flight with them at your peril""",Negative,1.0
2024-10-12,United States,"""experience has been positive""",Positive,5.0
2024-09-30,Philippines,"""It's very disappointing""",Negative,1.0
2024-09-26,India,“For the price paid flight was pretty good”,Positive,5.0
2024-09-25,Australia,"""the experience was extremely poor""",Negative,1.0
2024-09-24,India,"""incompetence of this airline"" ",Negative,1.0
2024-09-23,Australia,"""disappointed in Air India service""",Negative,1.0
2024-09-23,United States,"""made me buy a new ticket""",Neutral,2.5
2024-09-22,Australia,"""I had the worst experience""",Negative,1.0
2024-09-19,United States,"""14.5 hour flight no entertainment""",Positive,5.0
2024-09-16,United Kingdom,“We won’t forget it!”,Negative,1.0
2024-09-16,Australia,"""worst of my flying experience""",Negative,1.0
2024-09-15,Canada,“service is just getting worse and worse”,Negative,1.0
2024-09-11,Canada,"""service they provide is beyond the worst""",Negative,1.0
2024-09-08,India,"""I have asked for compensation""",Neutral,2.5
2024-09-07,United Kingdom,"""18 hour delay"" ",Negative,1.0
2024-09-07,Germany,"""Annoying, frustrating and sad experience """,Negative,1.0
2024-09-02,United States,"""ancient angled flat seat"" ",Neutral,2.5
2024-09-01,United States,"""equipment is super old""",Positive,5.0
2024-09-01,India,"""crew were quite nice and friendly""",Positive,5.0
2024-08-31,United Kingdom,"""seats wont recline and handles broken""",Neutral,2.5
2024-08-30,Canada,"""customer care is -1""",Positive,5.0
2024-08-30,United Kingdom,"""embarrassing and unacceptable""",Negative,1.0
2024-08-27,India,"""Air India still has lot of work to do""",Neutral,2.5
2024-08-21,India,"""Worst airline available""",Negative,1.0
2024-08-14,Kuwait,"""the worst experience""",Negative,1.0
2024-08-07,Japan,"""it was a horrible experience""",Negative,1.0
2024-08-06,Hong Kong,"""bags were delayed by 2+ weeks""",Negative,1.0
2024-08-04,Australia,"""No concern for consumers""",Neutral,2.5
2024-07-30,Australia,"""12hour flight without a working screen""",Neutral,2.5
2024-07-29,United States,"""Get your act together""",Neutral,2.5
2024-07-27,Denmark,"""Avoid flying Air India""",Negative,1.0
2024-07-21,United Kingdom,"""didn't bother refunding my money""",Negative,1.0
2024-07-19,New Zealand,"""Air India do not care""",Positive,5.0
2024-07-19,Singapore,"""no proper information to the travellers""",Neutral,2.5
2024-07-18,India,"""give you the torture treatment""",Negative,1.0
2024-07-18,Canada,""" I was really disappointed"" ",Negative,1.0
2024-07-18,Australia,"""never fly Air India again"" ",Neutral,2.5
2024-07-15,Australia,"""beyond useless and unhelpful""",Negative,1.0
2024-07-15,Nepal,"""charged me for the weight of my duty-free""",Positive,5.0
2024-06-24,United States,“No value for money”,Neutral,2.5
2024-06-24,United States,“Food was great as always”,Positive,5.0
