Date,Country,Customer Review,Analysis,Rating
2025-02-14,United Kingdom,“food has really gone downhill”,Neutral,2.5
2025-02-14,United Kingdom,"""thoroughly enjoyed this flight""",Positive,5.0
2025-02-07,Switzerland,“customer support was terrible”,Negative,1.0
2025-02-01,United Kingdom,"""a really enjoyable experience""",Positive,5.0
2025-01-20,United Kingdom,"""Very good flight""",Positive,5.0
2025-01-19,United Kingdom,"""relatively comfortable elderly plane""",Positive,5.0
2025-01-15,United Kingdom,"""70 days chasing BA’s complaints department""",Negative,1.0
2025-01-09,United States,"""BA refused to reimburse me""",Negative,1.0
2025-01-05,Netherlands,"""the flight was delayed"" ",Negative,1.0
2025-01-04,United States,"""BA forced us to buy new tickets""",Neutral,2.5
2025-01-03,South Africa,“staff had no sympathy or empathy”,Neutral,2.5
2025-01-01,United Kingdom,"""the seat is outdated"" ",Neutral,2.5
2024-12-17,United Kingdom,"""a national disgrace""",Negative,1.0
2024-12-17,Australia,"""sheer neglect in keeping us informed""",Negative,1.0
2024-12-14,United States,"""a huge disappointment""",Negative,1.0
2024-12-13,United Kingdom,"""we had to bus to the aircraft""",Neutral,2.5
2024-12-12,United Kingdom,"“victims of their new supper service""",Negative,1.0
2024-12-06,United Kingdom,“flight was cancelled last minute”,Negative,1.0
2024-12-02,United Kingdom,“Nobody wants to take responsibility”,Neutral,2.5
2024-11-29,United Kingdom,"""Terrible customer service"" ",Negative,1.0
2024-11-23,United Kingdom,“Is British Airways really this cheap”,Neutral,2.5
2024-11-18,United States,"""I will never fly BA again""",Neutral,2.5
2024-11-17,United Kingdom,"""I was pleasantly surprised""",Positive,5.0
2024-11-15,United Kingdom,"""flight attendants were outstanding""",Positive,5.0
2024-11-13,Australia,"""Food and service was the worst""",Negative,1.0
2024-11-08,Iceland,“flying with BA was disappointing”,Negative,1.0
2024-11-08,Singapore,"""won't be using her return ticket""",Neutral,2.5
2024-11-07,Turkey,"""the same as low cost carriers"" ",Negative,1.0
2024-11-07,Canada,“not refunding our money”,Neutral,2.5
2024-11-05,India,“A very poor experience”,Negative,1.0
2024-11-05,United Kingdom,"""food and beverages being targeted"" ",Neutral,2.5
2024-11-03,United Kingdom,"""never fly with them again""",Neutral,2.5
2024-11-03,United States,"""still have not heard any updates""",Neutral,2.5
2024-11-03,United Kingdom,"""cabin crew were nice""",Positive,5.0
2024-11-02,United Kingdom,"""support staff wash their hands of you"" ",Positive,5.0
2024-11-02,Canada,"""no fuss, no bother experience""",Negative,1.0
