Date,Country,Customer Review,Analysis,Rating
2025-02-01,Netherlands,"""should have been resolved weeks ago""",Neutral,2.5
2025-01-28,United Kingdom,“What has happened to Etihad?”,Neutral,2.5
2025-01-07,Nepal,"""Very good service""",Positive,5.0
2025-01-06,United Kingdom,“meal service was pretty bland”,Positive,5.0
2025-01-04,United States,"""must arrive over two hours early"" ",Neutral,2.5
2024-12-31,United Arab Emirates,"""Short term money grab strategy""",Neutral,2.5
2024-12-30,United States,"""responses are vague, unhelpful""",Negative,1.0
2024-12-29,United Arab Emirates,"""substantially more legroom""",Neutral,2.5
2024-12-13,United States,"""a good economy""",Positive,5.0
2024-11-27,Portugal,"""Far below expectations.""",Neutral,2.5
2024-11-27,Spain,"""the competition is better""",Neutral,2.5
2024-11-25,Mexico,“poor customer service”,Negative,1.0
2024-11-21,United States,"""lack of transparency for the issue""",Negative,1.0
2024-11-19,United States,Etihad Airways customer review,Neutral,2.5
2024-11-17,India,"""downgraded her to economy""",Neutral,2.5
2024-11-14,Germany,"""pathetic customer support""",Negative,1.0
2024-11-13,Sweden,“hidden fees are terrible”,Negative,1.0
2024-11-12,United Arab Emirates,"""exasperated with this organisation""",Neutral,2.5
2024-11-12,United Arab Emirates,“absolutely never again”,Neutral,2.5
2024-11-05,Pakistan,"""refused any refund""",Negative,1.0
2024-11-03,United Arab Emirates,"""appalling customer service""",Neutral,2.5
2024-11-03,Singapore,"""fallen for the same promotion""",Neutral,2.5
2024-10-30,Egypt,“Everything was unacceptable”,Negative,1.0
2024-10-25,United Kingdom,"“Terrible, terrible customer service”",Negative,1.0
2024-10-22,United Kingdom,"""less than satisfactory""",Neutral,2.5
2024-10-18,Australia,"""food barely edible""",Neutral,2.5
2024-10-12,Australia,"""unreliable and untrustworthy""",Neutral,2.5
2024-10-10,India,"""A very bad experience""",Negative,1.0
2024-10-09,United States,"""one of the worst customer service""",Negative,1.0
2024-10-07,India,"""been a terrible experience""",Negative,1.0
2024-10-05,Palestinian Territories,"""never fly with Etihad again""",Neutral,2.5
2024-10-04,Canada,"""felt disrespected and ignored""",Negative,1.0
2024-10-03,Australia,"""a deeply disappointing journey""",Negative,1.0
2024-10-02,India,“lack of professionalism”,Negative,1.0
2024-09-30,United States,"""Such a horrible airline""",Negative,1.0
2024-09-28,United States,"""Flight was delayed 2.45 hours""",Negative,1.0
2024-09-28,United Arab Emirates,"""the crew was the worst""",Negative,1.0
2024-09-25,Japan,“a very disappointing experience”,Negative,1.0
2024-09-24,New Zealand,"""deeply disappointing experience""",Negative,1.0
2024-09-23,United States,"""Downgrading without compensation""",Neutral,2.5
2024-09-20,Thailand,"""not like a valued customer at all""",Positive,5.0
2024-09-19,Ireland,"""regret choosing this airline"" ",Negative,1.0
2024-09-14,Saudi Arabia,"""Worst return flight experience ever""",Negative,1.0
2024-09-14,Thailand,"""they didn't refund my money""",Neutral,2.5
2024-09-05,Ireland,"""Definitely not fly with Etihad again""",Positive,5.0
2024-09-04,United States,"""I was totally disappointed"" ",Negative,1.0
2024-09-02,United States,“never accept a credit”,Negative,1.0
2024-08-21,Australia,"""Please do not fly with Etihad"" ",Neutral,2.5
2024-08-12,United Kingdom,"""experience is shocking""",Negative,1.0
2024-08-09,Canada,"""worst customer service""",Negative,1.0
2024-08-07,Pakistan,"""leg space was painfully compromised""",Negative,1.0
2024-08-06,Germany,"""a really bad flight""",Negative,1.0
2024-07-29,India,"""Never again with Etihad""",Neutral,2.5
2024-07-24,United Kingdom,"""Terrible customer service""",Negative,1.0
2024-07-23,Ireland,"""never travel again with Etihad""",Neutral,2.5
2024-07-19,India,“I had a terrible time”,Negative,1.0
2024-07-11,Australia,"""customer service has to be the worst""",Negative,1.0
2024-07-05,New Zealand,"""this was the worst experience""",Negative,1.0
2024-07-05,Australia,"""the worst experience ever""",Negative,1.0
2024-06-30,Canada,"""try to avoid this airline""",Negative,1.0
2024-06-19,United States,"""disappointing and frustrating""",Negative,1.0
2024-06-17,Netherlands,"""very good value for money""",Positive,5.0
2024-06-06,United Kingdom,"""Business Class product is good""",Positive,5.0
2024-06-06,United Kingdom,"""nothing really to complain about""",Neutral,2.5
2024-06-05,Pakistan,"""I have submitted 3 claims""",Neutral,2.5
2024-06-04,United Kingdom,"""Ground staff needs training""",Neutral,2.5
2024-06-04,United Kingdom,“I did enjoy it very much”,Positive,5.0
2024-05-29,United Kingdom,"""Never again Etihad""",Neutral,2.5
2024-05-22,Spain,"""allocated random seats""",Neutral,2.5
2024-05-22,Israel,"""Nobody care how are you""",Positive,5.0
2024-05-17,Canada,"""Would not recommend""",Neutral,2.5
2024-04-30,France,“This was a nightmare”,Neutral,2.5
2024-04-24,United Arab Emirates,"""Good riddance""",Positive,5.0
2024-04-23,United Kingdom,"""Never again with these people""",Neutral,2.5
2024-04-20,Portugal,"""almost like a low cost airline""",Neutral,2.5
2024-04-17,Qatar,“Poor service by the airline staff”,Negative,1.0
2024-04-15,Thailand,"“no service-mind, no empathy”",Neutral,2.5
2024-04-15,Thailand,“Terrible Airline!”,Negative,1.0
